"Community","2014 Data"
"Allendale/Irvington/S. Hilton","12.5"
"Baltimore City","9.3"
"Beechfield/Ten Hills/West Hills","12.9"
"Belair-Edison","9.4"
"Brooklyn/Curtis Bay/Hawkins Point","9.9"
"Canton","7.5"
"Cedonia/Frankford","9.0"
"Cherry Hill","4.4"
"Chinquapin Park/Belvedere","10.1"
"Claremont/Armistead","5.9"
"Clifton-Berea","6.8"
"Cross-Country/Cheswolde","12.3"
"Dickeyville/Franklintown","8.5"
"Dorchester/Ashburton","5.6"
"Downtown/Seton Hill","7.6"
"Edmondson Village","7.6"
"Fells Point","12.6"
"Forest Park/Walbrook","3.3"
"Glen-Fallstaff","8.7"
"Greater Charles Village/Barclay","5.0"
"Greater Govans","10.5"
"Greater Mondawmin","10.8"
"Greater Roland Park/Poplar Hill","11.6"
"Greater Rosemont","9.2"
"Greenmount East","4.5"
"Hamilton","12.0"
"Harbor East/Little Italy","3.1"
"Harford/Echodale","13.1"
"Highlandtown","9.2"
"Howard Park/West Arlington","9.4"
"Inner Harbor/Federal Hill","7.2"
"Lauraville","15.5"
"Loch Raven","17.0"
"Madison/East End","10.5"
"Medfield/Hampden/Woodberry/Remington","13.8"
"Midtown","9.2"
"Midway/Coldstream","9.2"
"Morrell Park/Violetville","10.3"
"Mount Washington/Coldspring","10.7"
"North Baltimore/Guilford/Homeland","7.8"
"Northwood","15.8"
"Oldtown/Middle East","3.6"
"Orangeville/East Highlandtown","10.2"
"Patterson Park North & East","7.4"
"Penn North/Reservoir Hill","5.9"
"Pimlico/Arlington/Hilltop","5.6"
"Poppleton/The Terraces/Hollins Market","5.2"
"Sandtown-Winchester/Harlem Park","8.1"
"South Baltimore","10.0"
"Southeastern","8.0"
"Southern Park Heights","6.7"
"Southwest Baltimore","9.8"
"The Waverlies","5.2"
"Upton/Druid Heights","5.9"
"Washington Village/Pigtown","11.4"
"Westport/Mount Winans/Lakeland","7.6"
