"Community","2014 Data"
"Allendale/Irvington/S. Hilton","19.4"
"Baltimore City","15.4"
"Beechfield/Ten Hills/West Hills","17.5"
"Belair-Edison","18.5"
"Brooklyn/Curtis Bay/Hawkins Point","19.8"
"Canton","8.3"
"Cedonia/Frankford","20.9"
"Cherry Hill","21.4"
"Chinquapin Park/Belvedere","16.9"
"Claremont/Armistead","22.2"
"Clifton-Berea","18.7"
"Cross-Country/Cheswolde","16.1"
"Dickeyville/Franklintown","13.5"
"Dorchester/Ashburton","22.8"
"Downtown/Seton Hill","13.4"
"Edmondson Village","21.6"
"Fells Point","8.9"
"Forest Park/Walbrook","16.4"
"Glen-Fallstaff","16.4"
"Greater Charles Village/Barclay","15.1"
"Greater Govans","19.0"
"Greater Mondawmin","17.3"
"Greater Roland Park/Poplar Hill","6.5"
"Greater Rosemont","22.1"
"Greenmount East","17.8"
"Hamilton","14.6"
"Harbor East/Little Italy","12.9"
"Harford/Echodale","15.1"
"Highlandtown","11.0"
"Howard Park/West Arlington","19.8"
"Inner Harbor/Federal Hill","6.1"
"Lauraville","13.1"
"Loch Raven","15.8"
"Madison/East End","14.0"
"Medfield/Hampden/Woodberry/Remington","13.7"
"Midtown","15.0"
"Midway/Coldstream","15.4"
"Morrell Park/Violetville","14.5"
"Mount Washington/Coldspring","9.4"
"North Baltimore/Guilford/Homeland","10.1"
"Northwood","12.8"
"Oldtown/Middle East","11.6"
"Orangeville/East Highlandtown","17.1"
"Patterson Park North & East","10.6"
"Penn North/Reservoir Hill","18.4"
"Pimlico/Arlington/Hilltop","15.3"
"Poppleton/The Terraces/Hollins Market","13.7"
"Sandtown-Winchester/Harlem Park","14.0"
"South Baltimore","6.1"
"Southeastern","22.3"
"Southern Park Heights","19.5"
"Southwest Baltimore","14.4"
"The Waverlies","16.6"
"Upton/Druid Heights","14.6"
"Washington Village/Pigtown","9.6"
"Westport/Mount Winans/Lakeland","11.0"
